Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-01-01 04:00:00,42330.50000000,42500.00000000,42180.77000000,42492.46000000,2706.99880000,1704095999999,114643199.90455160,128552,1385.79272000,58687457.61529610,0
2024-01-01 08:00:00,42492.46000000,42762.39000000,42452.58000000,42690.20000000,2948.80274000,1704110399999,125745887.26790690,137484,1523.25695000,64959471.63221540,0
2024-01-01 12:00:00,42690.21000000,42847.07000000,42580.00000000,42783.05000000,2936.44406000,1704124799999,125358722.17950020,148756,1496.35093000,63877513.43150760,0
2024-01-01 16:00:00,42783.05000000,43550.00000000,42664.42000000,43517.99000000,5686.97164000,1704139199999,244970557.19094900,242235,3016.44908000,129952006.43108730,0
2024-01-01 20:00:00,43517.98000000,44184.10000000,43361.60000000,44179.55000000,8946.99844000,1704153599999,391458744.91581200,291583,4869.62331000,213148569.60687970,0
2024-01-02 00:00:00,44179.55000000,45500.00000000,44148.34000000,45402.38000000,17093.28659000,1704167999999,767967116.49714790,538797,9741.98843000,437556220.24348470,0
2024-01-02 04:00:00,45402.38000000,45643.75000000,45121.96000000,45455.53000000,8388.42302000,1704182399999,380172685.01871630,272747,4152.58359000,188207525.30289260,0
2024-01-02 08:00:00,45455.52000000,45879.63000000,45200.00000000,45433.99000000,10027.39458000,1704196799999,457314275.47629890,345836,4898.05573000,223402983.80690990,0
2024-01-02 12:00:00,45433.99000000,45800.00000000,44833.33000000,45184.82000000,13236.12915000,1704211199999,600137218.94038450,434612,6634.97873000,300863243.63633770,0
2024-01-02 16:00:00,45184.83000000,45399.84000000,44790.96000000,45039.49000000,9745.60445000,1704225599999,439524931.72505880,382856,5014.55530000,226181160.17083610,0
2024-01-02 20:00:00,45039.49000000,45297.26000000,44600.00000000,44946.91000000,6655.56882000,1704239999999,299215594.16546980,272684,3374.98269000,151752991.07712380,0
2024-01-03 00:00:00,44946.91000000,45410.91000000,44862.11000000,45262.69000000,4750.68596000,1704254399999,214685701.86475190,192132,2111.46135000,95408638.36347070,0
2024-01-03 04:00:00,45262.70000000,45384.84000000,44940.93000000,45011.77000000,4691.11517000,1704268799999,212059728.48829410,177168,2193.42521000,99152269.40290900,0
2024-01-03 08:00:00,45011.77000000,45500.00000000,43500.00000000,43702.88000000,13237.52778000,1704283199999,591986412.97008640,467869,5794.82559000,259196319.69779890,0
2024-01-03 12:00:00,43702.89000000,43716.00000000,40750.00000000,43000.01000000,35484.15210000,1704297599999,1501608148.73156590,1070151,17330.18951000,733627108.60873660,0
2024-01-03 16:00:00,43000.01000000,43567.92000000,42000.00000000,42596.67000000,16895.34192000,1704311999999,724424429.28850240,541788,8556.20714000,366975637.21591600,0
2024-01-03 20:00:00,42596.66000000,42966.27000000,42518.70000000,42845.23000000,6135.72880000,1704326399999,262340142.40103140,208933,3117.88282000,133305229.66248320,0
2024-01-04 00:00:00,42845.23000000,43220.56000000,42613.77000000,43102.80000000,5488.13855000,1704340799999,235508699.51709560,202297,2617.70788000,112325511.52671030,0
2024-01-04 04:00:00,43102.79000000,43273.08000000,42756.97000000,42763.08000000,5443.39629000,1704355199999,234500564.01194510,229597,2412.51533000,103944751.95447160,0
2024-01-04 08:00:00,42763.08000000,43233.81000000,42616.28000000,43176.32000000,6746.40949000,1704369599999,289821653.73232380,291681,3149.03678000,135305312.54029320,0
2024-01-04 12:00:00,43176.33000000,44329.99000000,43097.06000000,44051.10000000,11599.01023000,1704383999999,506197358.73971750,438640,6024.98162000,262922672.56406230,0
2024-01-04 16:00:00,44051.10000000,44437.50000000,43777.86000000,43956.48000000,9399.52176000,1704398399999,413991311.90482870,334627,4515.48788000,198903397.11046700,0
2024-01-04 20:00:00,43956.48000000,44729.58000000,43890.90000000,44151.10000000,9361.58702000,1704412799999,415075771.58772410,323102,4886.17110000,216673622.14300860,0
